,x1,x2,x3,Result,Pesos Iniciais,Pesos Finais,Theta Inicial,Theta Final,Epocas
0,-0.3665,0.062,5.9891,-1,0.4746196313118888,2.820421631311761,0.5146650667121172,-5.065334933287863,4324.0
1,-0.7842,1.1267,5.5912,1,0.5144813855243302,4.871665385524468,0.0,0.0,0.0
2,0.3012,0.5611,5.8234,1,0.7930031923784587,-1.262956807621551,0.0,0.0,0.0
3,0.7757,1.0648,8.0677,1,0.0,0.0,0.0,0.0,0.0
4,0.157,0.8028,6.304,1,0.0,0.0,0.0,0.0,0.0
5,-0.7014,1.0316,3.6005,1,0.0,0.0,0.0,0.0,0.0
6,0.3748,0.1536,6.1537,-1,0.0,0.0,0.0,0.0,0.0
7,-0.692,0.9404,4.4058,1,0.0,0.0,0.0,0.0,0.0
8,-1.397,0.7141,4.9263,-1,0.0,0.0,0.0,0.0,0.0
9,-1.8842,-0.2805,1.2548,-1,0.0,0.0,0.0,0.0,0.0
